STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,ACTIVITY,Activité économique,ADJUSTMENT,Ajustement,TRANSFORMATION,Transformation,TIME_HORIZ,Temps,METHODOLOGY,Méthodologie,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,BASE_PER,Période de base
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-01,,101.2192,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-02,,103.4291,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-03,,85.72929,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-04,,68.05943,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-05,,81.28932,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-06,,91.41924,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-07,,94.72921,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-08,,95.56921,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-09,,97.20919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-10,,99.69917,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-11,,98.41918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2020-12,,97.73919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-01,,100.7292,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-02,,96.3892,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-03,,98.21918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-04,,98.08918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-05,,97.94918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-06,,97.93919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-07,,98.09918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-08,,98.60918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-09,,97.41919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-10,,99.08917,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-11,,97.65919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2021-12,,97.40919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-01,,99.38918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-02,,97.82919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-03,,97.63918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-04,,96.89919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-05,,97.35919,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-06,,98.68918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-07,,96.7692,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-08,,99.45917,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-09,,98.84917,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-10,,96.2192,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-11,,98.11918,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, ventes, mise en chantiers et commandes",I,FRA,France,M,Mensuelle,PRVM,Production volume,IX,Indice,BTE,Industrie (sauf construction),Y,Corrigé des variations saisonnières et des effets de calendrier,_Z,N'est pas applicable,_Z,Non applicable,N,Nationale,2022-12,,98.68918,,A,Normal value,0,Units,2,Two,2015,
